semaine;"num poule";competition;poule;J;le;horaire;"club rec";"club vis";"sc rec";"sc vis";"fdme rec";"fdme vis";"pen. rec";"pen. vis";"forf. rec";"forf. vis";"arb1 designe";"arb2 designe";"arb1 sifle";"arb2 sifle";secretaire;chronometreur;observateur;delegue;"resp salle";"tuteur table";"code renc";"Num rec";"Num vis";Etat;Forfait;Penalite;FDME;"Date Arrivee"
2023-45;Z62448500P;"ecole de hand - 44";"TOURNOI 1 FEMININ";1;12/11/2023;14:30:00;"LA CHAPELAINE 1F";"LAETITIA NANTES HB 1F";;;;;0;0;0;0;;;;;;;;;;;TAEZXVN;6244038;6244015;NON_JOUE;;;;
2023-45;Z62448500P;"ecole de hand - 44";"TOURNOI 1 FEMININ";1;12/11/2023;14:30:00;"LA CHAPELAINE 1F";"HANDBALL CLUB DU GESVRES 1F.2F.3F";;;;;0;0;0;0;;;;;;;;;;;TAEZXVO;6244038;6244085;NON_JOUE;;;;
2023-45;Z62448500P;"ecole de hand - 44";"TOURNOI 1 FEMININ";1;12/11/2023;14:30:00;"FANS HB LIGNE 1F";"THOUARE HANDBALL CLUB 1F.2F";;;;;0;0;0;0;;;;;;;;;;;TAEZXVP;6244039;6244091;NON_JOUE;;;;
2023-45;Z62448500P;"ecole de hand - 44";"TOURNOI 1 FEMININ";1;12/11/2023;14:30:00;"FANS HB LIGNE 1F";"LAETITIA NANTES HB 1F";;;;;0;0;0;0;;;;;;;;;;;TAEZXVQ;6244039;6244015;NON_JOUE;;;;
2023-45;Z62448500P;"ecole de hand - 44";"TOURNOI 1 FEMININ";1;12/11/2023;14:30:00;"FANS HB LIGNE 1F";"HANDBALL CLUB DU GESVRES 1F.2F.3F";;;;;0;0;0;0;;;;;;;;;;;TAEZXVR;6244039;6244085;NON_JOUE;;;;
2023-45;Z62448500P;"ecole de hand - 44";"TOURNOI 1 FEMININ";1;12/11/2023;14:30:00;"THOUARE HANDBALL CLUB 1F.2F";"LAETITIA NANTES HB 1F";;;;;0;0;0;0;;;;;;;;;;;TAEZXVS;6244091;6244015;NON_JOUE;;;;
2023-45;Z62448500P;"ecole de hand - 44";"TOURNOI 1 FEMININ";1;12/11/2023;14:30:00;"THOUARE HANDBALL CLUB 1F.2F";"HANDBALL CLUB DU GESVRES 1F.2F.3F";;;;;0;0;0;0;;;;;;;;;;;TAEZXVT;6244091;6244085;NON_JOUE;;;;
2023-45;Z62448500P;"ecole de hand - 44";"TOURNOI 1 FEMININ";1;12/11/2023;14:30:00;"LAETITIA NANTES HB 1F";"HANDBALL CLUB DU GESVRES 1F.2F.3F";;;;;0;0;0;0;;;;;;;;;;;TAEZXVU;6244015;6244085;NON_JOUE;;;;
2023-45;Z62448522P;"ecole de hand - 44";"TOURNOI 7 MIXTE";1;11/11/2023;09:45:00;"HBC NANTAIS 5M.6M";"LA CHAPELAINE 1M.2M.3M";;;;;0;0;0;0;;;;;;;;;;;TAEZXXT;6244001;6244038;NON_JOUE;;;;
2023-45;Z62448522P;"ecole de hand - 44";"TOURNOI 7 MIXTE";1;11/11/2023;09:45:00;"HBC NANTAIS 1M.2M.3M.4M";"LA CHAPELAINE 1M.2M.3M";;;;;0;0;0;0;;;;;;;;;;;TAEZXXU;6244001;6244038;NON_JOUE;;;;
2023-45;M62000201G;"hmpl ; honneur masculine regionale";"HMPL ; HONNEUR MASCULINE PDLL; POULE 2";7;11/11/2023;21:00:00;"C-HMPL CHAPELAINE*PORTE DE L ERDRE";"ASB REZE HANDBALL 2";37;34;37;34;0;0;0;0;"FLOQUET KILIAN";;"FLOQUET KILIAN";;"BRECHENMACHER MANON";"LECLAIRE LISE";;;"APTEL ERWANN";;TAESKXF;6244038;6244008;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/S/TAESKXF_VkbpzoCVE1+pmicSrpB2sg==.pdf;"12/11/2023 14:04"
2023-45;F624470011;u11f-44;"U11F-44-HONNEUR A POULE 2";4;11/11/2023;15:00:00;"LA CHAPELAINE";"HBAC STE PAZANNE";2;27;2;27;0;0;0;0;;;"OLLIVIER EMMA";"FORGERIT YAELLE";"DONGMO NEIL";"BAUER ARTHUR";"DENIAUD ADRIEN";;"BURGUIN CHRISTOPHE";;TAEXFCE;6244038;6244034;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/X/TAEXFCE_gMu8YNCvQbBHuZiFCmxpTw==.pdf;"12/11/2023 13:33"
2023-45;Z624470011;u11m-44;"U11M-44-HONNEUR A POULE 2";4;11/11/2023;13:30:00;"LA CHAPELAINE 1";"HANDBALL ORVAULT 2";26;6;26;6;0;0;0;0;;;"DUBOIS LE GOFF ERIN";"BRELET AMANDINE";"MERIGAUD PENELOPE";"CHAUVIN NATHANAEL";"DENIAUD ADRIEN";;"BURGUIN CHRISTOPHE";;TAEXFNC;6244038;6244098;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/X/TAEXFNC_AGVcSxCTp0AjbOocbrDS1Q==.pdf;"12/11/2023 13:33"
2023-45;Z624470041;u11m-44;"U11M-44-HONNEUR B POULE 1";4;11/11/2023;16:30:00;"LE LANDREAU HANDBALL";"LA CHAPELAINE 2";23;8;23;8;0;0;0;0;;;"THEBAUD JULES";"BOULLAY NOA";"CHEVALIER CASSANDRE";"AMIANT INES";"RIALLAN ANTOINE";;"COLIN CYRIL";"GUITTON LIAM";TAEXFQM;6244082;6244038;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/X/TAEXFQM_lfA+mw0n4pMR83YZSD0u9w==.pdf;"11/11/2023 21:44"
2023-45;M624465012;u12m-44;"U12M D2";1;12/11/2023;10:30:00;"LA CHAPELAINE 1";"ANCENIS HANDBALL";21;27;21;27;0;0;0;0;;;"DEWITTE MARIUS";"DONGMO TEO";"DEWITTE PIERRE-ALBAN";"HASNAOUI ARTHUR";"PINEAU THIERRY";;"SZCZUCZAK CELINE";;TAEZQDC;6244038;6244043;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/Z/TAEZQDC_1i8FZIbOjL1sn5gbC8EaEw==.pdf;"12/11/2023 13:33"
2023-45;M624465051;u12m-44;"U12M-44-HONNEUR A POULE 4";6;12/11/2023;13:00:00;"CARQUEFOU HB 2";"LA CHAPELAINE 2";36;10;36;10;0;0;0;0;;;"CARIO NATHAN";"AUBRY MATTEO";"COQUELIN SACHA";"FELLAH WASSIM";"PIERRE ERWAN";;"CARIO LUDOVIC";"PIERRE ERWAN";TAESOBX;6244049;6244038;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/S/TAESOBX_98M9et4adenXOpGfYhl6Aw==.pdf;"12/11/2023 14:20"
2023-45;F624460011;u13f-44;"U13F-44-EXCELLENCE POULE B";6;11/11/2023;13:30:00;"U13F-44-EXC-E-ALLIANCE PORTES DE L'ERDRE (CHAP-PHB)";"RACC NANTES 1 ";6;19;6;19;0;0;0;0;;;"SYDOR IVAN";"BOURNAND MATHYS";"JERONIMO-DERCOURT OSCAR";"PAGNON TERENCE";;;"DAVID ALEXANDRE";"GARNIER ANTOINE";TAESNPY;6244038;6244042;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/S/TAESNPY_uUK3aGLn7H8i1mTNib9hOg==.pdf;"12/11/2023 14:04"
2023-45;M624455061;u14m-44;"U14M-44-HONNEUR A POULE 4";5;11/11/2023;15:15:00;"RACC NANTES 1 ";"LA CHAPELAINE 2";36;22;36;22;0;0;0;0;;;"DELAUNAY--EGRON VIRGILE";;"BAUBET GUSTAVE";"KERVERDO EWEN";"CAVALIER YANN";;"LE GUERNEUVE JEAN";"MERY FRANCOIS";TAESNLF;6244042;6244038;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/S/TAESNLF_RwoHzTSjLUakNK3stTZdsw==.pdf;"11/11/2023 22:53"
2023-45;F624450021;u15f-44;"U15F-44-HONNEUR A POULE 1";5;11/11/2023;16:30:00;"U15F-44-HA-E-ALLIANCE PORTES DE L'ERDRE (CHAP-PHB)";"HANDBALL CLUB LEO LAGRANGE SUCE SUR ERDRE";28;25;28;25;0;0;0;0;;;"BOURENE ADRIEN";"MC QUAIDE MATHIEU";"BLAYO YOUNA";"PIRIOU FLEUR";"MINGUET NATHALIE";;"DESSEVRES CHRISTOPHE";;TAESMVL;6244038;6244012;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/S/TAESMVL_Q8diEf43qCbMVcqkySjbMQ==.pdf;"12/11/2023 13:33"
2023-45;M624445011;u16m-44;"U16M-44-HONNEUR B POULE 1";4;11/11/2023;15:00:00;"U16M-44-HB-C-ALLIANCE PORTES DE L'ERDRE (CHAP-PHB)";"HBAC STE PAZANNE 2";16;27;16;27;0;0;0;0;;;"FRANCOU NATHAN";;"HAMARD OCTAVIE";"KLEIN ALBERTINE";"GARNIER ANTOINE";;"TIRCAZES JULES";"DAVID ALEXANDRE";TAEXEHI;6244038;6244034;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/X/TAEXEHI_GVFpa96XcIoK8cvwT1M+wQ==.pdf;"12/11/2023 14:05"
2023-45;M624430041;u19m-44;"U19M-44-HONNEUR A POULE 2";6;11/11/2023;17:00:00;"U19M-44-HA-C-ALLIANCE PORTES DE L'ERDRE (CHAP-PHB)";"AL CHATEAUBRIANT";48;30;48;30;0;0;0;0;"POILANE NICOLAS";;"POILANE NICOLAS";;"OLLIVIER--BROUSSE GREGOIRE";"OLLIVIER-BROUSSE CLEMENT";;;"TIRCAZES JULES";"GARNIER ANTOINE";TAESMEG;6244038;6244004;JOUE;;;http://fdmerv.ff-handball.org/T/A/E/S/TAESMEG_QOwjUF++WKcgs0hwQT150Q==.pdf;"12/11/2023 14:04"
